Timestamp,Posture
2022_07_26_16_30_24,0
2022_07_26_16_40_24,0
2022_07_26_16_50_24,0
2022_07_26_17_00_24,0
2022_07_26_17_10_24,0
2022_07_26_17_20_24,0
2022_07_26_17_30_24,0
2022_07_26_17_40_24,0
2022_07_26_17_50_24,0
2022_07_26_18_00_24,0
2022_07_26_18_10_24,0
2022_07_26_18_20_23,0
2022_07_26_18_30_24,0
2022_07_26_18_40_24,0
2022_07_26_18_50_24,3
2022_07_26_19_00_24,0
2022_07_26_19_10_24,0
2022_07_26_19_20_24,0
2022_07_26_19_30_24,0
2022_07_26_19_40_24,0
2022_07_26_19_50_24,0
2022_07_26_20_00_24,0
2022_07_26_20_10_24,0
2022_07_26_20_20_24,0
2022_07_26_20_30_24,0
2022_07_26_20_40_24,0
2022_07_26_20_50_24,0
2022_07_26_21_00_24,0
2022_07_26_21_10_24,0
2022_07_26_21_20_24,0
2022_07_26_21_30_24,0
2022_07_26_21_40_24,1
2022_07_26_21_50_24,1
2022_07_26_22_00_23,1
2022_07_26_22_10_23,1
2022_07_26_23_40_24,4
2022_07_26_23_50_24,4
2022_07_27_00_00_23,3
2022_07_27_00_10_24,3
2022_07_27_00_20_23,3
2022_07_27_00_30_24,3
2022_07_27_00_40_23,4
2022_07_27_00_50_24,4
2022_07_27_01_00_24,4
2022_07_27_01_10_24,1
2022_07_27_01_20_24,1
2022_07_27_01_30_24,1
2022_07_27_01_40_24,1
2022_07_27_01_50_24,1
2022_07_27_02_00_24,1
2022_07_27_02_10_24,1
2022_07_27_02_20_24,1
2022_07_27_02_30_24,1
2022_07_27_02_40_24,1
2022_07_27_02_50_24,1
2022_07_27_03_00_24,1
2022_07_27_03_10_24,1
2022_07_27_03_20_24,1
2022_07_27_03_30_24,4
2022_07_27_03_40_24,1
2022_07_27_03_50_24,1
2022_07_27_04_00_24,4
2022_07_27_04_10_23,4
2022_07_27_04_20_24,4
2022_07_27_04_30_24,4
2022_07_27_04_40_24,4
2022_07_27_04_50_24,4
2022_07_27_05_00_24,4
2022_07_27_05_10_23,3
2022_07_27_05_20_24,3
2022_07_27_05_30_24,4
2022_07_27_05_40_24,4
2022_07_27_05_50_23,4
2022_07_27_06_00_24,4
2022_07_27_06_10_23,4
2022_07_27_06_20_23,4
2022_07_27_06_30_24,5
2022_07_27_06_40_24,3
2022_07_27_06_50_24,0
2022_07_27_07_00_24,0
2022_07_27_07_10_24,3
2022_07_27_07_20_24,3
2022_07_27_07_30_23,5
2022_07_27_07_40_24,4
2022_07_27_07_50_24,4
2022_07_27_08_00_23,4
2022_07_27_08_10_23,4
2022_07_27_08_20_23,4
2022_07_27_08_30_24,5
2022_07_27_08_40_24,5
2022_07_27_08_50_24,5
2022_07_27_09_00_23,5
2022_07_27_09_40_24,3
2022_07_27_09_50_23,3
2022_07_27_10_00_24,5
2022_07_27_10_10_23,4
2022_07_27_10_20_24,2
2022_07_27_10_30_23,4
2022_07_27_10_40_24,3
2022_07_27_10_50_24,3
2022_07_27_11_00_24,3
2022_07_27_11_10_24,4
2022_07_27_11_20_24,4
2022_07_27_11_30_23,4
2022_07_27_11_40_24,2
2022_07_27_11_50_24,4
2022_07_27_12_00_24,4
2022_07_27_12_10_24,1
2022_07_27_12_20_24,1
2022_07_27_12_30_24,3
2022_07_27_12_40_23,3
2022_07_27_12_50_24,5
2022_07_27_13_00_24,5
2022_07_27_13_10_24,3
2022_07_27_13_20_24,5
2022_07_27_13_30_23,5
2022_07_27_13_40_24,4
2022_07_27_13_50_24,4
2022_07_27_14_00_23,4
2022_07_27_14_10_24,4
2022_07_27_14_20_24,3
2022_07_27_14_30_24,3
2022_07_27_14_40_24,0
2022_07_27_14_50_24,0
2022_07_27_15_00_23,2
2022_07_27_15_10_24,3
2022_07_27_15_20_24,3
2022_07_27_15_30_23,0
2022_07_27_15_40_24,0
2022_07_27_15_50_24,0
2022_07_27_16_00_24,0
2022_07_27_16_10_24,0
2022_07_27_16_20_24,0
2022_07_27_16_30_23,0
2022_07_27_16_40_24,3
2022_07_27_16_50_24,3
2022_07_27_17_00_24,3
2022_07_27_17_10_24,3
2022_07_27_17_20_24,0
2022_07_27_17_30_24,0
2022_07_27_17_40_24,0
2022_07_27_17_50_24,0
2022_07_27_18_00_23,0
2022_07_27_18_10_24,0
2022_07_27_18_20_24,0
2022_07_27_18_30_24,0
2022_07_27_18_40_24,0
2022_07_27_18_50_24,0
2022_07_27_19_00_24,0
2022_07_27_19_10_23,0
2022_07_27_19_20_24,0
2022_07_27_19_30_24,0
2022_07_27_19_40_24,0
2022_07_27_19_50_24,0
2022_07_27_20_00_24,0
2022_07_27_20_10_24,0
2022_07_27_20_20_24,0
2022_07_27_20_30_24,0
2022_07_27_20_40_24,0
2022_07_27_20_50_24,0
2022_07_27_21_00_24,0
2022_07_27_21_10_24,4
2022_07_27_21_20_24,1
2022_07_27_21_30_24,4
2022_07_27_21_40_24,4
2022_07_27_21_50_24,4
2022_07_27_22_00_24,1
2022_07_27_22_10_23,1
2022_07_27_22_20_23,1
2022_07_27_22_30_24,1
2022_07_27_22_40_24,4
2022_07_27_22_50_24,4
2022_07_27_23_00_24,1
2022_07_27_23_10_23,1
2022_07_27_23_20_24,1
2022_07_27_23_30_24,1
2022_07_27_23_40_23,2
2022_07_27_23_50_24,4
2022_07_28_00_00_24,4
2022_07_28_00_10_24,4
2022_07_28_00_20_23,4
2022_07_28_00_30_23,4
2022_07_28_00_40_24,1
2022_07_28_00_50_24,1
2022_07_28_01_00_24,1
2022_07_28_01_10_24,1
2022_07_28_01_20_24,3
2022_07_28_01_30_24,0
2022_07_28_01_40_24,0
2022_07_28_01_50_23,0
2022_07_28_02_00_24,0
2022_07_28_02_10_23,0
2022_07_28_02_20_24,0
2022_07_28_02_30_23,0
2022_07_28_02_40_24,0
2022_07_28_02_50_24,5
2022_07_28_03_00_24,4
2022_07_28_03_10_23,4
2022_07_28_03_20_23,1
2022_07_28_03_30_24,2
2022_07_28_03_40_24,4
2022_07_28_03_50_23,4
2022_07_28_04_00_24,4
2022_07_28_04_10_24,4
2022_07_28_04_20_23,4
2022_07_28_04_30_23,4
2022_07_28_04_40_24,4
2022_07_28_04_50_23,4
2022_07_28_05_00_23,4
2022_07_28_05_10_23,4
2022_07_28_05_20_23,4
2022_07_28_05_30_23,4
2022_07_28_05_40_24,2
2022_07_28_05_50_24,3
2022_07_28_06_00_24,3
2022_07_28_06_10_24,3
2022_07_28_06_20_24,5
2022_07_28_06_30_24,4
2022_07_28_06_40_24,4
2022_07_28_06_50_23,4
2022_07_28_07_00_23,5
2022_07_28_07_10_23,4
2022_07_28_07_20_23,4
2022_07_28_07_30_23,3
2022_07_28_07_40_24,3
2022_07_28_07_50_24,3
2022_07_28_08_00_23,3
2022_07_28_08_10_23,3
2022_07_28_08_20_24,3
2022_07_28_08_30_24,3
2022_07_28_08_40_24,4
2022_07_28_08_50_24,4
2022_07_28_09_00_24,5
2022_07_28_09_10_24,5
2022_07_28_09_20_24,5
2022_07_28_09_30_24,5
2022_07_28_09_40_24,5
2022_07_28_09_50_23,5
2022_07_28_10_20_23,5
2022_07_28_10_30_24,4
2022_07_28_10_40_23,1
2022_07_28_10_50_24,4
2022_07_28_11_00_23,2
2022_07_28_11_10_23,3
2022_07_28_11_20_23,2
2022_07_28_11_30_24,3
2022_07_28_11_40_23,3
2022_07_28_11_50_24,3
2022_07_28_12_00_24,3
2022_07_28_12_10_24,4
2022_07_28_12_20_24,5
2022_07_28_12_30_24,5
2022_07_28_12_40_24,5
2022_07_28_12_50_24,3
2022_07_28_13_00_24,0
2022_07_28_13_10_24,0
2022_07_28_13_20_23,3
2022_07_28_13_30_24,3
2022_07_28_13_40_24,4
2022_07_28_13_50_24,4
2022_07_28_14_00_24,4
2022_07_28_14_10_23,5
2022_07_28_14_20_24,4
2022_07_28_14_30_24,4
2022_07_28_14_40_23,4
2022_07_28_14_50_24,5
2022_07_28_15_00_24,3
2022_07_28_15_10_24,2
2022_07_28_15_20_24,2
2022_07_28_15_30_24,3
2022_07_28_15_40_24,3
2022_07_28_15_50_24,2
2022_07_28_19_30_23,1
2022_07_28_19_40_24,1
2022_07_28_19_50_23,1
2022_07_28_20_00_24,5
2022_07_28_20_10_23,4
2022_07_28_20_20_23,1
2022_07_28_20_30_24,1
2022_07_28_20_40_23,1
2022_07_28_20_50_23,1
2022_07_28_21_00_23,1
2022_07_28_21_10_23,0
2022_07_28_21_20_23,0
2022_07_28_21_30_23,0
2022_07_28_21_40_23,0
2022_07_28_21_50_23,0
2022_07_28_22_00_23,0
2022_07_28_22_10_23,0
2022_07_28_22_20_23,0
2022_07_28_22_30_23,0
2022_07_28_22_40_23,0
2022_07_28_22_50_23,0
2022_07_28_23_00_23,5
2022_07_28_23_10_23,5
2022_07_28_23_20_23,0
2022_07_28_23_30_23,0
2022_07_28_23_40_23,0
2022_07_28_23_50_23,0
2022_07_29_00_00_23,0
2022_07_29_00_10_23,3
2022_07_29_00_20_23,0
2022_07_29_00_30_23,0
2022_07_29_00_40_23,0
2022_07_29_00_50_23,5
2022_07_29_01_00_23,1
2022_07_29_01_10_23,1
2022_07_29_01_20_23,3
2022_07_29_01_30_23,0
2022_07_29_01_40_23,5
2022_07_29_01_50_23,3
2022_07_29_02_00_23,0
2022_07_29_02_10_23,0
2022_07_29_02_20_23,0
2022_07_29_02_30_23,0
2022_07_29_02_40_23,0
2022_07_29_02_50_23,5
2022_07_29_03_00_23,3
2022_07_29_03_10_23,3
2022_07_29_03_20_23,4
2022_07_29_03_30_23,1
2022_07_29_03_40_23,3
2022_07_29_03_50_23,3
2022_07_29_04_00_23,3
2022_07_29_04_10_23,5
2022_07_29_04_20_23,1
2022_07_29_04_30_23,1
2022_07_29_04_40_23,3
2022_07_29_04_50_23,4
2022_07_29_05_00_23,1
2022_07_29_05_10_23,1
2022_07_29_05_20_23,1
2022_07_29_05_30_23,5
2022_07_29_05_40_23,5
2022_07_29_05_50_23,4
2022_07_29_06_00_23,1
2022_07_29_06_10_23,3
2022_07_29_06_20_23,0
2022_07_29_06_30_23,3
2022_07_29_06_40_23,0
2022_07_29_06_50_23,5
2022_07_29_07_00_23,4
2022_07_29_07_10_23,3
2022_07_29_07_20_23,5
2022_07_29_07_30_23,3
2022_07_29_07_40_23,3
2022_07_29_07_50_23,5
2022_07_29_08_00_23,4
2022_07_29_08_10_23,4
2022_07_29_08_20_23,5
2022_07_29_08_30_23,5
2022_07_29_08_40_23,5
2022_07_29_08_50_23,5
2022_07_29_09_00_23,5
2022_07_29_09_10_23,5
2022_07_29_09_20_23,3
2022_07_29_09_30_23,4
2022_07_29_09_40_24,4
2022_07_29_09_50_23,5
2022_07_29_10_00_24,5
2022_07_29_10_10_23,4
2022_07_29_10_20_23,4
2022_07_29_10_30_24,5
2022_07_29_10_40_23,4
2022_07_29_10_50_23,3
2022_07_29_11_00_24,5
2022_07_29_11_10_23,5
2022_07_29_11_20_23,4
2022_07_29_13_00_19,3
2022_07_29_13_10_19,2
2022_07_29_13_20_20,3
2022_07_29_13_30_19,3
2022_07_29_13_40_19,0
2022_07_29_13_50_20,0
2022_07_29_14_00_19,0
2022_07_29_14_10_19,0
2022_07_29_14_20_20,5
2022_07_29_14_30_19,5
2022_07_29_14_40_19,5
2022_07_29_14_50_19,3
2022_07_29_17_10_20,3
2022_07_29_17_20_19,1
2022_07_29_17_30_19,1
2022_07_29_17_40_19,1
2022_07_29_17_50_20,1
2022_07_29_18_00_19,1
2022_07_29_18_10_19,3
2022_07_29_18_20_19,0
2022_07_29_18_30_19,0
2022_07_29_18_40_19,0
2022_07_29_18_50_19,0
2022_07_29_19_00_19,0
2022_07_29_19_10_19,0
2022_07_29_19_20_19,0
2022_07_29_19_30_19,0
2022_07_29_19_40_19,0
2022_07_29_19_50_19,4
2022_07_29_20_00_19,4
2022_07_29_20_10_20,4
2022_07_29_20_20_19,1
2022_07_29_20_30_19,1
2022_07_29_20_40_19,4
2022_07_29_20_50_19,4
2022_07_29_21_00_19,1
2022_07_29_21_10_19,1
